,GENENAME,GENEID,PROTEINID,TXBIOTYPE,chemical,protein,experimental,prediction,database,textmining,combined_score,CIDs,Source,ID,pref_name,max_phase,molecule_type,first_approval,mechanism_of_action,action_type,synonyms
12,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00003559,9606.ENSP00000306245,0,0,900,886,988,CIDs00003559,ChEMBL,CHEMBL54,HALOPERIDOL,4,Small molecule,1967,Serotonin 2a (5-HT2a) receptor antagonist,ANTAGONIST,Haloperidol | MCN-JR-1625 | NSC-170973 | NSC-615296 | R-1625 | Dolpin | Dozic | Fortunan | Haldol | Haldol solutab | Kentace | Keselen | Serenace | Haloperidol decanoate impurity, haloperidol-
13,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00003559,9606.ENSP00000306245,0,0,900,886,988,CIDs00003559,ChEMBL,CHEMBL54,HALOPERIDOL,4,Small molecule,1967,D2-like dopamine receptor inverse agonist,INVERSE AGONIST,Haloperidol | MCN-JR-1625 | NSC-170973 | NSC-615296 | R-1625 | Dolpin | Dozic | Fortunan | Haldol | Haldol solutab | Kentace | Keselen | Serenace | Haloperidol decanoate impurity, haloperidol-
14,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00003007,9606.ENSP00000306245,0,0,900,915,991,CIDs00003007,ChEMBL,CHEMBL405,AMPHETAMINE,4,Small molecule,1955,Dopamine transporter releasing agent,RELEASING AGENT,Amfetamine | Amphetamine | Amphetamine resin complex | NSC-27159 | Adzenys er | Adzenys xr-odt | Dyanavel xr
15,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00003007,9606.ENSP00000306245,0,0,900,915,991,CIDs00003007,ChEMBL,CHEMBL405,AMPHETAMINE,4,Small molecule,1955,Norepinephrine transporter releasing agent,RELEASING AGENT,Amfetamine | Amphetamine | Amphetamine resin complex | NSC-27159 | Adzenys er | Adzenys xr-odt | Dyanavel xr
16,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00003007,9606.ENSP00000306245,0,0,900,915,991,CIDs00003007,ChEMBL,CHEMBL501,AMPHETAMINE SULFATE,4,Small molecule,1960,Dopamine transporter releasing agent,RELEASING AGENT,Amfetamine sulfate | Amphetamine sulfate | NSC-170999 | Benzadrine | Evekeo | Evekeo odt | Amphetamine Sulfate
17,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00003007,9606.ENSP00000306245,0,0,900,915,991,CIDs00003007,ChEMBL,CHEMBL501,AMPHETAMINE SULFATE,4,Small molecule,1960,Norepinephrine transporter releasing agent,RELEASING AGENT,Amfetamine sulfate | Amphetamine sulfate | NSC-170999 | Benzadrine | Evekeo | Evekeo odt | Amphetamine Sulfate
18,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00003007,9606.ENSP00000306245,0,0,900,915,991,CIDs00005825,ChEMBL,CHEMBL612,DEXTROAMPHETAMINE,4,Small molecule,1955,Dopamine transporter releasing agent,RELEASING AGENT,Dexamfetamine | Dexamphetamine | Dextroamphetamine | Dextroamphetamine resin complex | d-Amphetamine | Dexampex | Dexedrine | Dextrostat | Ferndex | NSC-73713
19,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00003007,9606.ENSP00000306245,0,0,900,915,991,CIDs00005825,ChEMBL,CHEMBL612,DEXTROAMPHETAMINE,4,Small molecule,1955,Norepinephrine transporter releasing agent,RELEASING AGENT,Dexamfetamine | Dexamphetamine | Dextroamphetamine | Dextroamphetamine resin complex | d-Amphetamine | Dexampex | Dexedrine | Dextrostat | Ferndex | NSC-73713
20,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00003007,9606.ENSP00000306245,0,0,900,915,991,CIDs00005825,ChEMBL,CHEMBL612,DEXTROAMPHETAMINE,4,Small molecule,1955,Synaptic vesicular amine transporter inhibitor,INHIBITOR,Dexamfetamine | Dexamphetamine | Dextroamphetamine | Dextroamphetamine resin complex | d-Amphetamine | Dexampex | Dexedrine | Dextrostat | Ferndex | NSC-73713
21,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00002818,9606.ENSP00000306245,0,0,900,870,986,CIDs00002818,ChEMBL,CHEMBL42,CLOZAPINE,4,Small molecule,1989,Serotonin 2a (5-HT2a) receptor antagonist,ANTAGONIST,Clozapine | HF 1854 | HF-1854 | Clozaril | Fazaclo | Fazaclo odt | Versacloz | Zaponex | Clozapine resolution mixture
22,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00002818,9606.ENSP00000306245,0,0,900,870,986,CIDs00002818,ChEMBL,CHEMBL42,CLOZAPINE,4,Small molecule,1989,Dopamine D2 receptor antagonist,ANTAGONIST,Clozapine | HF 1854 | HF-1854 | Clozaril | Fazaclo | Fazaclo odt | Versacloz | Zaponex | Clozapine resolution mixture
23,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00002548,9606.ENSP00000306245,0,0,900,880,987,CIDs01548943,ChEMBL,CHEMBL294199,CAPSAICIN,4,Small molecule,2009,Vanilloid receptor opener,OPENER,Capsaicin | Ngx-1998 | ALGRX 4975 | ALGRX-4975 | FEMA NO. 3404 | NGX-1998 | NGX-4010 | NSC-56353 | Qutenza | Zacin | Zostrix | Zostrix hp
24,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00002548,9606.ENSP00000306245,0,0,900,880,987,CIDs01548942,ChEMBL,CHEMBL313971,ZUCAPSAICIN,3,Small molecule,NA,Vanilloid receptor agonist,AGONIST,Zucapsaicin
25,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00001206,9606.ENSP00000306245,0,0,900,800,979,CIDs00010836,ChEMBL,CHEMBL1200952,METHAMPHETAMINE HYDROCHLORIDE,4,Small molecule,1943,Monoamine transporter inhibitor,INHIBITOR,Methylamfetamine hydrochloride | Methamphetamine hydrochloride | Desoxyephedrine hydrochloride | Metamfetamine hydrochloride | NSC-169505 | Desoxyn | Methampex | Methamphetamine hydrochloride cii
26,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00000942,9606.ENSP00000306245,0,0,900,875,987,CIDs00089594,ChEMBL,CHEMBL3,NICOTINE,4,Small molecule,1984,Neuronal acetylcholine receptor; alpha4/beta2 agonist,AGONIST,Nicotine | Habitrol | Nicabate | Nicoderm | Nicoderm cq | Nicopass | Nicopatch | Nicorette invisi | Nicotinell classic | Nicotinell support | Nicotinell tts 10 | Nicotinell tts 20 | Nicotinell tts 30 | Nicotrol | Nicotrol Inhaler | Nicotrol NS | Niquitin | Niquitin clr | Niquitin minis cherry | Niquitin minis mint | Niquitin minis orange | Niquitin mint | Niquitin pre-quit | Niquitin strips mint | Prostep | Stoppers | Stubit
27,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00000784,9606.ENSP00000306245,0,0,700,884,964,CIDs00000784,ChEMBL,CHEMBL71595,HYDROGEN PEROXIDE,4,Small molecule,2017,Unknown,NA,Hydrogen peroxide | Hydrogen Peroxide | Oxydol | A-101 | NSC-19892 | Crystacide | Eskata | Hioxyl | Peroxyl
28,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00000581,9606.ENSP00000306245,0,0,700,179,746,CIDs00012035,ChEMBL,CHEMBL600,ACETYLCYSTEINE,4,Small molecule,1963,Glutathione precursor,NA,Acetylcysteine | N-acetyl-l-cysteine | 5052 | Rk-0202 | NSC-111180 | RK-0202 | A-cys | Acc-600 | Acetadote | Airbron | Cetylev | En-cys | Fabrol | Fluimucil | Fluimucil 600 | Fluimucil long | Fluimucil n | Ilube | Mucomyst | Mucosil | Mucosil-10 | Mucosil-20 | N-Acetyl-L-Cysteine | Oronac 600 | Parvolex | Respi-nac | Siran | Solmucol | Yournac
29,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00000581,9606.ENSP00000306245,0,0,700,179,746,CIDs00012035,ChEMBL,CHEMBL600,ACETYLCYSTEINE,4,Small molecule,1963,Mycolytic,NA,Acetylcysteine | N-acetyl-l-cysteine | 5052 | Rk-0202 | NSC-111180 | RK-0202 | A-cys | Acc-600 | Acetadote | Airbron | Cetylev | En-cys | Fabrol | Fluimucil | Fluimucil 600 | Fluimucil long | Fluimucil n | Ilube | Mucomyst | Mucosil | Mucosil-10 | Mucosil-20 | N-Acetyl-L-Cysteine | Oronac 600 | Parvolex | Respi-nac | Siran | Solmucol | Yournac
30,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00093860,9606.ENSP00000360266,0,0,900,829,982,CIDs00387447,ChEMBL,CHEMBL325041,BORTEZOMIB,4,Small molecule,2003,26S proteosome inhibitor,INHIBITOR,Bortezomib | Bortezomib hydrate | Velcade | LDP-341 | NSC-681239 | PS-341
31,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00063062,9606.ENSP00000360266,0,0,700,121,728,CIDs00449459,ChEMBL,CHEMBL489,AFIMOXIFENE,3,Small molecule,NA,Estrogen receptor modulator,MODULATOR,4-Hydroxytamoxifen | Afimoxifene | 4-OHT | Tamogel
32,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00063062,9606.ENSP00000360266,0,0,700,121,728,CIDs00449459,ChEMBL,CHEMBL489,AFIMOXIFENE,3,Small molecule,NA,Estrogen-related receptor gamma antagonist,ANTAGONIST,4-Hydroxytamoxifen | Afimoxifene | 4-OHT | Tamogel
33,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00054454,9606.ENSP00000360266,0,0,700,110,725,CIDs00054454,ChEMBL,CHEMBL1064,SIMVASTATIN,4,Small molecule,1991,HMG-CoA reductase inhibitor,INHIBITOR,Simvastatin | Simvastatin hydroxy acid | Synvinolin | C10AA01 | MK-0733 | MK-733 | Flolipid | Lacersa | Ranzolont | Simvador | Zocor | Zocor heart-pro
34,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00013342,9606.ENSP00000360266,0,0,800,837,966,CIDs00013342,ChEMBL,CHEMBL378544,VINBLASTINE SULFATE,4,Small molecule,1965,Tubulin inhibitor,INHIBITOR,Vinblastine sulfate | 29060-LE | 29060LE | NSC-49842 | Velban | Velbe | Vinblast,lederle
35,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00005978,9606.ENSP00000360266,0,0,700,120,728,CIDs00005978,ChEMBL,CHEMBL501867,VINCRISTINE SULFATE,4,Small molecule,1963,Tubulin inhibitor,INHIBITOR,Vincristine sulfate | 37231 | LILLY-37231 | NSC-67574 | Kyocristine | Leurocristine Sulfate | Marqibo kit | Oncovin | Vincasar | Vincasar pfs | Vincrex | Vincristine sulfate pfs
36,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00005591,9606.ENSP00000360266,0,0,900,819,981,CIDs00005591,ChEMBL,CHEMBL408,TROGLITAZONE,4,Small molecule,1997,Peroxisome proliferator-activated receptor gamma agonist,AGONIST,Troglitazone | Rezulin | CI-991 | CS-045 | GR-92132X | GR92132X | Prelay | Romozin
37,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00005538,9606.ENSP00000360266,0,0,700,874,961,CIDs00444795,ChEMBL,CHEMBL38,TRETINOIN,4,Small molecule,1971,Retinoic acid receptor agonist,AGONIST,Tretinoin | Retinoic acid | NSC-122758 | Acticin | Altreno | Atralin | Avita | Renova | Retin-a | Retin-a micro | Retin-a-micro | Tretin-X | Vesanoid
38,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00005538,9606.ENSP00000360266,0,0,700,874,961,CIDs05282379,ChEMBL,CHEMBL547,ISOTRETINOIN,4,Small molecule,1982,Retinoic acid receptor agonist,AGONIST,Isotretinoin | Retinoic acid 13-cis-form | 13 Cis-Retinoic Acid | PAT-001 | RO 4-3780 | RO-4-3780 | RO-43780 | Absorica | Absorica ld | Accutane | Amnesteem | Claravis | Isotrex | Myorisan | Roaccutane | Sotret | Zenatane
39,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00005538,9606.ENSP00000360266,0,0,700,874,961,CIDs00449171,ChEMBL,CHEMBL705,ALITRETINOIN,4,Small molecule,1999,Retinoid receptor agonist,AGONIST,Alitretinoin | Retinoic acid 9-cis-form | Panretin | AGN 192013 | AGN-192013 | ALRT-1057 | ALRT1057 | BAL-4079 | LG-100057 | LG100057 | LGD-1057 | LGD1057 | NSC-659772 | Toctino
40,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00005515,9606.ENSP00000360266,0,0,700,0,700,CIDs00060699,ChEMBL,CHEMBL1607,TOPOTECAN HYDROCHLORIDE,4,Small molecule,1996,DNA topoisomerase I, mitochondrial inhibitor,INHIBITOR,Topotecan hydrochloride | Nogitecan hydrochloride | SK&F S-104864-A | SK&F-S-104864A | SK-S-104864-A | Hycamptin | Hycamtin | Topotecan
41,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00005376,9606.ENSP00000360266,0,0,700,376,807,CIDs02733525,ChEMBL,CHEMBL786,TAMOXIFEN CITRATE,4,Small molecule,1977,Estrogen receptor alpha modulator,MODULATOR,Tamoxifen citrate | I.C.I.46474 CITRATE | ICI 46,474 | ICI-46474 | Emblon | Fentamox 10 | Fentamox 20 | Kentadex | Kessar | Kessar 10 | Kessar 20 | Noltam | Nolvadex | Nolvadex d | Nolvadex fte | Oestrifen-10 | Oestrifen-20 | Oestrifen-40 | Soltamox | Tamofen | Zynoplex
42,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00005311,9606.ENSP00000360266,0,0,700,0,700,CIDs00005311,ChEMBL,CHEMBL98,VORINOSTAT,4,Small molecule,2006,Histone deacetylase 1 inhibitor,INHIBITOR,Vorinostat | MK-0683 | MK0683 | Zolinza
43,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00005311,9606.ENSP00000360266,0,0,700,0,700,CIDs00005311,ChEMBL,CHEMBL98,VORINOSTAT,4,Small molecule,2006,Histone deacetylase 3 inhibitor,INHIBITOR,Vorinostat | MK-0683 | MK0683 | Zolinza
44,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00005311,9606.ENSP00000360266,0,0,700,0,700,CIDs00005311,ChEMBL,CHEMBL98,VORINOSTAT,4,Small molecule,2006,Histone deacetylase 6 inhibitor,INHIBITOR,Vorinostat | MK-0683 | MK0683 | Zolinza
45,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00005311,9606.ENSP00000360266,0,0,700,0,700,CIDs00005311,ChEMBL,CHEMBL98,VORINOSTAT,4,Small molecule,2006,Histone deacetylase 2 inhibitor,INHIBITOR,Vorinostat | MK-0683 | MK0683 | Zolinza
46,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00005040,9606.ENSP00000360266,0,0,900,246,922,CIDs05284616,ChEMBL,CHEMBL413,SIROLIMUS,4,Small molecule,1999,FK506-binding protein 1A inhibitor,INHIBITOR,Sirolimus | Rapamycin | AY-22989 | L04AA10 | NSC-226080 | SM-88 COMPONENT SIROLIMUS | WY-090217 | Rapamune
47,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00004666,9606.ENSP00000360266,0,0,700,849,953,CIDs00036314,ChEMBL,CHEMBL428647,PACLITAXEL,4,Small molecule,1992,Tubulin inhibitor,INHIBITOR,Paclitaxel | Taxol | ABI-007 | ABI-007 COMPONENT PACLITAXEL | BMS 181339-01 | BMS-181339-01 | DHP 107 | DHP-107 | MBT 0206 | MBT-0206 | NK 105 | NK-105 | NSC-125973 | QW-8184 | Abraxane | Pacitaxel | Paxene | Taxol 100
48,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00004253,9606.ENSP00000360266,0,0,700,820,944,CIDs05288826,ChEMBL,CHEMBL2103744,MORPHINE SULFATE,4,Small molecule,1984,Mu opioid receptor agonist,AGONIST,Morphine sulfate | Morphine sulfate hydrate | Morphine sulfate anhydrous | Morphine sulfate pentahydrate | NSC-11441 | Arymo er | Astramorph pf | Avinza | Depodur | Duramorph | Duramorph pf | Duromorph | Filnarine sr | Infumorph | Kadian | Moraxen | Morcap sr | Morphabond | Morphabond er | Morphgesic sr | Morphine sulfate (autoinjector) | Ms contin | Mst continus | Oramorph | Oramorph sr | Oramorph udv | Rhotard | Sevredol | Srm-rhotard | Zomorph | Morphine sulfate cii
49,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00003749,9606.ENSP00000360266,0,0,800,0,800,CIDs00003749,ChEMBL,CHEMBL1513,IRBESARTAN,4,Small molecule,1997,Type-1 angiotensin II receptor antagonist,ANTAGONIST,Irbesartan | BMS-186295 | SR 47436 | SR-47436 | Aprovel | Avapro | Ifirmasta | Karvea | Sabervel
50,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00003715,9606.ENSP00000360266,0,0,700,187,748,CIDs00003715,ChEMBL,CHEMBL6,INDOMETHACIN,4,Small molecule,1965,Cyclooxygenase inhibitor,INHIBITOR,Indometacin | Indomethacin | Indometacin farnesil | NSC-77541 | Artracin | Artracin sr | Berlind 75 ret | Flexin-25 continus | Flexin-50 continus | Flexin-75 continus | Imbrilon | Indo-lemmon | Indo-paed | Indocid ret | Indocid-r | Indocin | Indocin sr | Indoderm | Indoflex | Indolar | Indolar sr | Indomax-25 | Indomax-75 sr | Indomod | Indoptol | Indotard mr 75 | Ledmecin | Maximet sr | Mobilan | Pardelprin mr | Rheumacin la | Rimacid | Slo-indo | Tivorbex
51,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00002833,9606.ENSP00000360266,0,0,700,108,724,CIDs00006167,ChEMBL,CHEMBL107,COLCHICINE,4,Small molecule,1961,Tubulin inhibitor,INHIBITOR,Colchicine | NSC-757 | Colcrys | Gloperba | Mitigare
52,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00001690,9606.ENSP00000360266,0,0,700,219,758,CIDs00031703,ChEMBL,CHEMBL359744,DOXORUBICIN HYDROCHLORIDE,4,Small molecule,1974,DNA topoisomerase II alpha inhibitor,INHIBITOR,Doxorubicin hydrochloride | Doxorubicin liposomal complex of the hydrochloride | Liposomal doxorubicin hydrochloride | Adriamycin | Adriamycin pfs | Adriamycin Rdf | Caelyx | Doxil | Doxil (liposomal) | Doxorubicin hydrochloride (liposomal) | Myocet | Rubex | Doxorubicin HCl
53,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00001690,9606.ENSP00000360266,0,0,700,219,758,CIDs00031703,ChEMBL,CHEMBL359744,DOXORUBICIN HYDROCHLORIDE,4,Small molecule,1974,DNA inhibitor,INHIBITOR,Doxorubicin hydrochloride | Doxorubicin liposomal complex of the hydrochloride | Liposomal doxorubicin hydrochloride | Adriamycin | Adriamycin pfs | Adriamycin Rdf | Caelyx | Doxil | Doxil (liposomal) | Doxorubicin hydrochloride (liposomal) | Myocet | Rubex | Doxorubicin HCl
54,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00001206,9606.ENSP00000360266,0,0,700,0,700,CIDs00010836,ChEMBL,CHEMBL1200952,METHAMPHETAMINE HYDROCHLORIDE,4,Small molecule,1943,Monoamine transporter inhibitor,INHIBITOR,Methylamfetamine hydrochloride | Methamphetamine hydrochloride | Desoxyephedrine hydrochloride | Metamfetamine hydrochloride | NSC-169505 | Desoxyn | Methampex | Methamphetamine hydrochloride cii
55,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00000784,9606.ENSP00000360266,0,0,700,903,970,CIDs00000784,ChEMBL,CHEMBL71595,HYDROGEN PEROXIDE,4,Small molecule,2017,Unknown,NA,Hydrogen peroxide | Hydrogen Peroxide | Oxydol | A-101 | NSC-19892 | Crystacide | Eskata | Hioxyl | Peroxyl
56,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00000727,9606.ENSP00000360266,0,0,700,0,700,CIDs00000727,ChEMBL,CHEMBL15891,LINDANE,4,Small molecule,1974,GABA-A receptor negative allosteric modulator,NEGATIVE ALLOSTERIC MODULATOR,Lindane | Benzene hexachloride, gamma | gamma-Hexachlorocyclohexane | Gammallin | Gammaxene | Hexachlorane | Hexicide | Esoderm | Gamene | Gamma Benzene HCl | Gexane | Kwell | Lorexane | Lorexane no 3 | Quellada | Scabene
57,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00000681,9606.ENSP00000360266,0,0,700,308,786,CIDs00000681,ChEMBL,CHEMBL1557,DOPAMINE HYDROCHLORIDE,4,Small molecule,1974,Beta-1 adrenergic receptor agonist,AGONIST,Dopamine hydrochloride | ASL-279 | NSC-169105 | Dopamin-Natterman | Dopmin | Dynatra | Intropin | Sabax Dopamin | Selectajet
58,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00000581,9606.ENSP00000360266,0,0,700,320,789,CIDs00012035,ChEMBL,CHEMBL600,ACETYLCYSTEINE,4,Small molecule,1963,Glutathione precursor,NA,Acetylcysteine | N-acetyl-l-cysteine | 5052 | Rk-0202 | NSC-111180 | RK-0202 | A-cys | Acc-600 | Acetadote | Airbron | Cetylev | En-cys | Fabrol | Fluimucil | Fluimucil 600 | Fluimucil long | Fluimucil n | Ilube | Mucomyst | Mucosil | Mucosil-10 | Mucosil-20 | N-Acetyl-L-Cysteine | Oronac 600 | Parvolex | Respi-nac | Siran | Solmucol | Yournac
59,JUN,ENSG00000177606,ENSP00000360266,protein_coding,CIDm00000581,9606.ENSP00000360266,0,0,700,320,789,CIDs00012035,ChEMBL,CHEMBL600,ACETYLCYSTEINE,4,Small molecule,1963,Mycolytic,NA,Acetylcysteine | N-acetyl-l-cysteine | 5052 | Rk-0202 | NSC-111180 | RK-0202 | A-cys | Acc-600 | Acetadote | Airbron | Cetylev | En-cys | Fabrol | Fluimucil | Fluimucil 600 | Fluimucil long | Fluimucil n | Ilube | Mucomyst | Mucosil | Mucosil-10 | Mucosil-20 | N-Acetyl-L-Cysteine | Oronac 600 | Parvolex | Respi-nac | Siran | Solmucol | Yournac
